shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1,41.3566209,2.0676238,488,8408.777
1,41.3565818,2.0675247,489,8418.137
1,41.3565407,2.0674269,490,8427.504
1,41.3565089,2.0673425,491,8435.394
1,41.3563914,2.0670493,492,8463.180
1,41.3563487,2.0669428,493,8473.273
1,41.3563322,2.0668962,494,8477.573
1,41.3563151,2.0668358,495,8482.979
1,41.3563066,2.0667580,496,8489.555
1,41.3563062,2.0666936,497,8494.935
1,41.3563114,2.0666330,498,8500.044
1,41.3563246,2.0665701,499,8505.505
1,41.3563390,2.0665180,500,8510.143
1,41.3563581,2.0664747,501,8514.348
1,41.3563772,2.0664396,502,8517.963
1,41.3564003,2.0663999,503,8522.162
1,41.3564362,2.0663578,504,8527.481
1,41.3564711,2.0663220,505,8532.383
1,41.3565148,2.0662824,506,8538.257
1,41.3565773,2.0662258,507,8546.657
1,41.3566827,2.0661292,508,8560.870
1,41.3570286,2.0658121,509,8607.548
1,41.3570549,2.0657857,510,8611.215
1,41.3570697,2.0657720,511,8613.212
1,41.3572765,2.0655809,512,8641.184
1,41.3575122,2.0653423,513,8674.101
1,41.3576111,2.0652370,514,8688.176
1,41.3577336,2.0651064,515,8705.624
1,41.3578029,2.0650285,516,8715.707
1,41.3581378,2.0646657,517,8763.700
1,41.3582124,2.0645895,518,8774.155
1,41.3584577,2.0643283,519,8809.063
1,41.3586616,2.0641002,520,8838.674
1,41.3586964,2.0640612,521,8843.736
1,41.3588104,2.0639362,522,8860.148
1,41.3589484,2.0637838,523,8880.083
1,41.3591828,2.0635304,524,8913.649
1,41.3592643,2.0634423,525,8925.316
1,41.3593600,2.0633389,526,8939.010
1,41.3597060,2.0629637,527,8988.623
1,41.3599847,2.0626615,528,9028.575
1,41.3600695,2.0625718,529,9040.612
1,41.3601396,2.0624951,530,9050.703
1,41.3602051,2.0624248,531,9060.050
1,41.3602298,2.0623980,532,9063.595
1,41.3603119,2.0623085,533,9075.395
1,41.3603520,2.0622655,534,9081.116
1,41.3604286,2.0621835,535,9092.045
1,41.3605296,2.0620705,536,9106.708
1,41.3605691,2.0620288,537,9112.312
1,41.3606203,2.0619705,538,9119.803
1,41.3606747,2.0619112,539,9127.617
1,41.3607508,2.0618280,540,9138.568
1,41.3611920,2.0613460,541,9202.002
1,41.3612726,2.0612589,542,9213.541
1,41.3617267,2.0607679,543,9278.573
1,41.3617959,2.0606925,544,9288.512
1,41.3619123,2.0605658,545,9305.226
1,41.3619853,2.0604882,546,9315.607
1,41.3621750,2.0602864,547,9342.594
1,41.3626523,2.0597696,548,9410.993
1,41.3627176,2.0596971,549,9420.433
1,41.3628681,2.0595324,550,9442.100
1,41.3630651,2.0593178,551,9470.387
1,41.3631728,2.0591986,552,9485.964
1,41.3632319,2.0591333,553,9494.494
1,41.3633172,2.0590365,554,9506.960
1,41.3634292,2.0589033,555,9523.651
1,41.3634797,2.0588388,556,9531.436
1,41.3636009,2.0586836,557,9550.128
1,41.3636205,2.0586588,558,9553.137
1,41.3636388,2.0586365,559,9555.891
1,41.3636567,2.0586173,560,9558.452
1,41.3636745,2.0585990,561,9560.946
1,41.3636827,2.0585906,562,9562.100
1,41.3637045,2.0585717,563,9564.987
1,41.3637301,2.0585525,564,9568.255
1,41.3637564,2.0585384,565,9571.402
1,41.3637847,2.0585281,566,9574.669
1,41.3638077,2.0585230,567,9577.251
1,41.3638288,2.0585197,568,9579.608
1,41.3638501,2.0585201,569,9581.981
1,41.3638774,2.0585233,570,9585.018
1,41.3639135,2.0585326,571,9589.100
1,41.3639359,2.0585398,572,9591.662
1,41.3639709,2.0585533,573,9595.708
1,41.3642903,2.0586621,574,9632.317
1,41.3643208,2.0586768,575,9635.922
1,41.3643633,2.0587028,576,9641.118
1,41.3644053,2.0587363,577,9646.550
1,41.3645134,2.0588159,578,9660.279
1,41.3646176,2.0588926,579,9673.509
1,41.3646841,2.0589425,580,9681.989
1,41.3647680,2.0590053,581,9692.685
1,41.3649381,2.0591291,582,9714.225
1,41.3650224,2.0591916,583,9724.947
1,41.3651026,2.0592505,584,9735.122
1,41.3651619,2.0592923,585,9742.572
1,41.3653568,2.0594456,586,9767.724
1,41.3654297,2.0595104,587,9777.463
1,41.3655029,2.0595756,588,9787.257
1,41.3658503,2.0599019,589,9834.501
1,41.3659830,2.0600235,590,9852.408
1,41.3660442,2.0600794,591,9860.653
1,41.3662071,2.0602426,592,9883.312
1,41.3662463,2.0602783,593,9888.594
1,41.3663006,2.0603348,594,9896.249
1,41.3663899,2.0604306,595,9909.000
1,41.3664405,2.0604858,596,9916.271
1,41.3664925,2.0605450,597,9923.872
1,41.3665164,2.0605720,598,9927.367
1,41.3666137,2.0606819,599,9941.549
1,41.3667104,2.0607944,600,9955.826
1,41.3668074,2.0609220,601,9970.983
1,41.3668404,2.0609666,602,9976.207
1,41.3669371,2.0610987,603,9991.613
1,41.3669782,2.0611591,604,9998.422
1,41.3670001,2.0611960,605,10002.356
1,41.3670133,2.0612181,606,10004.710
1,41.3670772,2.0613412,607,10017.217
1,41.3671109,2.0614076,608,10023.909
1,41.3671406,2.0614745,609,10030.410
1,41.3673382,2.0619038,610,10072.488
1,41.3673612,2.0619542,611,10077.411
1,41.3673997,2.0620376,612,10085.590
1,41.3674489,2.0621413,613,10095.841
1,41.3675049,2.0622640,614,10107.845
1,41.3675493,2.0623601,615,10117.273
1,41.3675785,2.0624293,616,10123.906
1,41.3676051,2.0624997,617,10130.495
1,41.3676405,2.0625945,618,10139.339
1,41.3676617,2.0626590,619,10145.229
1,41.3676848,2.0627340,620,10152.004
1,41.3676866,2.0627396,621,10152.514
1,41.3677074,2.0628040,622,10158.372
1,41.3677337,2.0628862,623,10165.844
1,41.3677469,2.0629379,624,10170.407
1,41.3677565,2.0629714,625,10173.411
1,41.3677689,2.0630141,626,10177.231
1,41.3677946,2.0631096,627,10185.719
1,41.3678151,2.0631867,628,10192.555
1,41.3678485,2.0633255,629,10204.745
1,41.3678778,2.0634491,630,10215.584
1,41.3679002,2.0635463,631,10224.080
1,41.3679076,2.0635687,632,10226.125
1,41.3679128,2.0635851,633,10227.617
1,41.3679176,2.0636001,634,10228.979
1,41.3679675,2.0637367,635,10241.676
1,41.3679914,2.0638027,636,10247.799
1,41.3680030,2.0638422,637,10251.346
1,41.3680070,2.0638605,638,10252.941
1,41.3680159,2.0638988,639,10256.297
1,41.3680205,2.0639564,640,10261.139
1,41.3680273,2.0640270,641,10267.096
1,41.3680403,2.0641904,642,10280.834
1,41.3680473,2.0642989,643,10289.939
1,41.3680484,2.0643380,644,10293.218
1,41.3680519,2.0644610,645,10303.507
1,41.3680528,2.0645852,646,10313.896
1,41.3680482,2.0647474,647,10327.469
1,41.3680389,2.0649201,648,10341.952
1,41.3680245,2.0650817,649,10355.565
1,41.3680112,2.0652233,650,10367.500
1,41.3680104,2.0652334,651,10368.352
1,41.3680067,2.0652816,652,10372.402
1,41.3679848,2.0655014,653,10390.942
1,41.3679641,2.0657422,654,10411.213
1,41.3679517,2.0660080,655,10433.490
1,41.3679499,2.0661275,656,10443.485
1,41.3679484,2.0662217,657,10451.366
1,41.3679507,2.0664382,658,10469.472
