shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
51_R3,41.3658403,2.1097966,11
51_R3,41.3660681,2.1105923,12
51_R3,41.3662736,2.1112187,13
51_R3,41.3675388,2.1148216,14
51_R3,41.3678037,2.1157198,15
51_R3,41.3679378,2.1163169,16
51_R3,41.3680876,2.1172315,17
51_R3,41.368155,2.1182043,18
51_R3,41.3681578,2.1188623,19
51_R3,41.3680403,2.1232041,20
10_C1,40.4709919,-3.6825814,1
10_C1,40.4710447,-3.6825597,2
10_C1,40.4714835,-3.6823792,3
10_C1,40.4723839,-3.6820088,4
10_C1,40.4744882,-3.6811371,5
10_C1,40.47594,-3.6805503,6
10_C1,40.4764072,-3.6803578,7
10_C1,40.4768805,-3.6801628,8
10_C1,40.4803127,-3.6787289,9
10_C1,40.4807626,-3.6784717,10
10_C1,40.4814167,-3.678068,11
10_C1,40.4825952,-3.6772846,12
10_C1,40.4828976,-3.6771362,13
10_C1,40.4842907,-3.676554,14
10_C1,40.484777,-3.676331,15
10_C1,40.4850282,-3.676179,16
10_C1,40.4853208,-3.6759438,17
10_C1,40.4856189,-3.675664,18
10_C1,40.4858994,-3.6753725,19
10_C1,40.4863658,-3.6748259,20
